borrower_id,age,monthly_income,loan_amount,interest_rate_annual,term_months,employment_length_years,employment_status,credit_score,dti_percent,num_late_payments,days_past_due,app_logins_30d,sms_open_rate,email_open_rate,whatsapp_opt_in,previous_restructuring,macro_unemployment,macro_inflation,region,last_contact_channel,last_contact_response,has_collateral,action_taken,default_60d,time_to_default_days,paid_within_30d
58,26,22872.15,46009.68,26.79,21,20,Formal,642,34.52,0,3,5,0.329,0.271,1,0,5.1,2.39,Norte,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,0
59,56,13108.95,42777.35,31.04,42,21,Formal,720,26.46,1,43,9,0.318,0.438,1,1,5.88,5.4,Centro,App,No_Contactado,1,Push_App,0,120.0,1
60,53,3392.82,6529.61,17.48,22,7,Informal,797,25.77,2,0,10,0.0,0.159,1,1,4.64,5.79,Occidente,Email,No_Contactado,1,Email_Recordatorio,0,120.0,1
61,65,7391.92,23593.88,10.0,7,28,Formal,704,29.47,0,0,14,0.392,0.833,1,0,3.51,6.71,Sur,Email,No_Contactado,0,Email_Recordatorio,0,120.0,1
62,56,3000.0,57958.98,30.64,36,29,Independiente,654,40.52,2,26,15,0.244,0.031,0,0,4.26,2.22,Norte,App,Reestructuracion,0,Push_App,1,36.2,0
63,37,13595.25,46552.95,31.02,33,3,Informal,670,42.95,1,22,7,0.36,0.322,1,1,4.58,2.0,Norte,WhatsApp,Contactado_Sin_Compromiso,0,WA_Recordatorio,0,120.0,1
64,68,13869.7,51873.18,31.33,21,22,Informal,658,44.56,0,26,0,0.356,0.332,0,1,3.44,5.27,Occidente,App,Promesa_de_Pago,0,Push_App,0,120.0,0
65,39,12453.22,75981.34,24.33,32,13,Desempleado,641,34.98,1,25,0,0.0,0.377,0,1,4.87,3.78,Centro,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,1
66,34,21473.27,20316.92,38.43,45,20,Formal,792,39.6,4,15,1,0.448,0.187,1,0,4.26,2.78,Occidente,Llamada,Contactado_Sin_Compromiso,0,Llamada_Agente,0,120.0,1
67,65,22191.12,44095.49,24.78,44,16,Informal,588,32.98,0,6,4,0.388,0.324,0,1,5.16,4.63,Occidente,App,Contactado_Sin_Compromiso,0,Push_App,0,120.0,1
68,37,13977.67,54717.77,30.95,39,6,Formal,721,14.09,1,7,17,0.415,0.178,1,1,3.02,3.96,Oriente,Llamada,Contactado_Sin_Compromiso,0,Llamada_Agente,1,61.7,1
69,21,3000.0,32396.0,32.16,30,2,Desempleado,631,32.41,1,2,17,0.313,0.617,1,0,2.5,2.97,Sur,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,1
70,42,18703.69,85786.93,40.03,7,15,Independiente,536,30.5,1,3,13,0.36,0.166,1,1,3.61,4.4,Norte,App,Reestructuracion,0,Push_App,0,120.0,1
71,59,18332.16,72714.67,25.78,27,25,Desempleado,627,22.53,0,0,15,0.385,0.253,1,0,4.02,5.18,Norte,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,0
72,27,16856.35,57253.33,23.43,40,24,Informal,602,28.19,2,0,3,0.405,0.161,0,0,2.5,4.71,Centro,WhatsApp,Promesa_de_Pago,0,WA_Recordatorio,0,120.0,1
73,42,20888.88,94855.79,17.51,41,8,Formal,680,36.62,2,8,0,0.445,0.136,0,0,3.39,4.72,Norte,Email,Contactado_Sin_Compromiso,0,Email_Recordatorio,0,120.0,0
74,24,8011.03,12527.62,38.87,38,25,Independiente,646,21.4,1,0,1,0.407,0.028,0,1,5.28,5.03,Sur,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,0
75,53,27052.53,49806.84,30.95,47,10,Informal,568,26.47,1,0,0,0.72,0.401,1,0,4.53,2.47,Sur,SMS,Contactado_Sin_Compromiso,1,SMS_Recordatorio,0,120.0,1
76,42,9243.43,59158.42,31.17,27,16,Desempleado,743,53.57,0,5,1,0.205,0.159,0,1,4.14,4.44,Centro,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,0
77,35,19495.34,27136.12,49.82,10,9,Desempleado,716,15.77,1,9,4,0.275,0.137,1,0,2.94,4.79,Sur,Email,No_Contactado,0,Email_Recordatorio,0,120.0,0
78,29,4875.91,57517.86,30.28,26,15,Desempleado,751,32.8,1,5,9,0.689,0.107,0,1,5.25,4.05,Oriente,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,0
79,47,9418.41,22335.44,18.88,19,15,Formal,657,21.0,1,0,8,0.319,0.335,0,1,3.58,3.5,Centro,Email,Contactado_Sin_Compromiso,0,Email_Recordatorio,0,120.0,1
80,52,24098.21,67263.93,26.63,41,20,Informal,637,25.98,0,43,3,0.536,0.284,0,0,4.09,3.6,Sur,App,Promesa_de_Pago,1,Push_App,0,120.0,1
81,66,13434.6,76445.87,21.18,38,14,Informal,689,32.63,1,0,11,0.377,0.285,1,1,4.41,4.15,Oriente,App,Promesa_de_Pago,0,Push_App,0,120.0,1
82,40,20039.54,56808.34,25.23,23,15,Independiente,600,23.15,2,0,3,0.304,0.143,0,1,4.17,5.6,Sur,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,1
83,26,16421.73,5000.0,25.18,22,19,Informal,649,41.89,1,0,8,0.547,0.358,0,1,5.49,6.33,Norte,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,1
84,61,14370.25,25830.16,23.89,12,12,Independiente,628,51.21,5,37,1,0.454,0.161,0,1,4.58,6.09,Norte,App,Promesa_de_Pago,0,Push_App,0,120.0,1
85,50,23183.1,64117.75,18.25,7,15,Desempleado,538,45.1,0,20,14,0.043,0.293,0,1,4.34,2.63,Centro,WhatsApp,Contactado_Sin_Compromiso,0,WA_Recordatorio,0,120.0,1
86,54,13580.05,50529.97,39.15,19,2,Formal,649,47.3,0,2,8,0.385,0.255,1,0,3.91,3.37,Sur,Email,Promesa_de_Pago,0,Email_Recordatorio,0,120.0,1
87,23,4315.57,5000.0,30.09,16,26,Independiente,609,18.44,1,1,12,0.151,0.0,1,1,4.43,5.29,Sur,App,Reestructuracion,0,Push_App,0,120.0,0
88,34,10180.56,81070.76,26.42,17,3,Informal,623,32.08,2,15,0,0.604,0.645,0,1,3.79,6.06,Centro,Llamada,No_Contactado,1,Llamada_Agente,0,120.0,0
89,57,18307.15,53416.41,33.3,47,26,Desempleado,665,40.61,0,0,9,0.701,0.383,1,0,4.19,3.34,Oriente,SMS,Reestructuracion,0,SMS_Recordatorio,0,120.0,1
90,61,17373.05,29523.13,31.3,34,22,Informal,729,45.45,0,19,11,0.725,0.312,1,1,3.66,4.72,Sur,App,Contactado_Sin_Compromiso,1,Push_App,0,120.0,1
91,40,5597.65,74873.89,29.93,29,28,Independiente,581,56.04,2,1,0,0.422,0.341,1,0,3.5,3.14,Sur,SMS,No_Contactado,0,SMS_Recordatorio,0,120.0,1
92,59,10653.94,33061.5,32.79,13,0,Independiente,616,47.83,0,22,15,0.258,0.649,0,1,3.08,4.83,Centro,WhatsApp,Contactado_Sin_Compromiso,0,WA_Recordatorio,0,120.0,1
93,61,11509.67,32788.7,28.94,41,6,Formal,586,45.76,1,21,0,0.414,0.485,0,1,3.73,3.73,Sur,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,0
94,38,12807.18,58958.82,32.69,33,1,Desempleado,582,66.6,1,0,9,0.162,0.343,1,1,3.66,4.72,Occidente,Email,Promesa_de_Pago,1,Email_Recordatorio,0,120.0,1
95,64,6744.52,94525.96,33.27,27,12,Desempleado,598,36.16,0,0,18,0.819,0.153,0,1,5.83,3.05,Oriente,SMS,Contactado_Sin_Compromiso,1,SMS_Recordatorio,0,120.0,1
96,32,11229.77,90589.68,29.14,25,27,Informal,626,31.53,3,7,13,0.589,0.181,0,1,4.99,2.54,Oriente,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,1
97,30,10628.34,58992.79,26.46,29,22,Informal,681,37.13,3,0,0,0.411,0.0,1,1,3.87,8.22,Norte,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,0
98,53,19629.2,61559.64,38.71,41,21,Informal,662,24.02,1,13,6,0.549,0.214,1,0,3.58,4.58,Norte,WhatsApp,Reestructuracion,1,WA_Recordatorio,0,120.0,1
99,51,19854.73,69787.47,24.65,36,25,Informal,566,35.81,2,6,15,0.252,0.399,0,0,4.62,7.06,Oriente,WhatsApp,Promesa_de_Pago,1,WA_Recordatorio,0,120.0,1
100,25,14125.14,18575.41,30.74,26,0,Informal,731,14.28,0,0,3,0.128,0.394,0,1,5.94,6.31,Centro,Email,Promesa_de_Pago,1,Email_Recordatorio,0,120.0,1
101,61,12647.76,66103.71,30.9,34,23,Independiente,706,28.65,0,0,5,0.0,0.391,1,0,4.8,2.54,Norte,App,Promesa_de_Pago,0,Push_App,0,120.0,1
102,28,15839.55,31648.16,23.73,45,9,Independiente,577,33.62,0,35,5,0.367,0.187,0,1,2.5,4.93,Occidente,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,0
103,59,10100.55,57961.95,22.35,19,20,Independiente,726,46.4,1,2,11,0.308,0.379,0,1,4.86,2.95,Oriente,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,1
104,18,8119.01,44313.31,25.52,43,22,Informal,663,48.33,0,59,0,0.454,0.428,1,0,5.04,4.14,Occidente,App,No_Contactado,1,Push_App,0,120.0,1
105,59,9358.67,62530.21,24.55,31,20,Desempleado,629,23.44,1,12,11,0.353,0.0,0,0,6.2,2.24,Norte,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,1
106,58,11191.12,52952.59,17.79,13,12,Formal,665,59.91,2,19,4,0.445,0.335,0,0,3.75,2.61,Centro,Email,Promesa_de_Pago,0,Email_Recordatorio,0,120.0,0
107,58,8019.16,5000.0,23.44,46,18,Formal,638,36.78,2,12,7,0.512,0.655,1,0,4.14,3.47,Centro,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,1
108,52,15972.36,54472.29,29.86,34,14,Desempleado,678,37.88,2,18,6,0.058,0.228,1,0,4.45,3.85,Centro,Llamada,Contactado_Sin_Compromiso,1,Llamada_Agente,0,120.0,1
109,42,19378.29,66053.82,36.86,22,18,Desempleado,653,15.59,2,33,11,0.524,0.0,0,0,3.24,4.55,Occidente,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,0
110,54,5477.41,61148.21,31.88,15,13,Formal,616,27.56,1,34,7,0.269,0.134,1,1,3.15,3.26,Occidente,App,Promesa_de_Pago,1,Push_App,0,120.0,1
111,32,15150.77,47435.35,10.0,44,11,Desempleado,498,47.6,1,0,16,0.454,0.0,0,0,4.4,4.68,Centro,App,No_Contactado,1,Push_App,0,120.0,0
112,58,13680.39,91054.04,32.49,40,6,Desempleado,677,37.04,0,29,13,0.554,0.166,0,1,2.5,5.86,Sur,App,Reestructuracion,0,Push_App,0,120.0,0
113,46,17049.05,57784.33,24.09,7,11,Desempleado,614,36.29,1,21,3,0.556,0.06,1,0,2.68,4.83,Sur,SMS,Reestructuracion,1,SMS_Recordatorio,0,120.0,1
114,41,14922.37,60941.83,31.17,32,21,Desempleado,694,37.73,1,12,16,0.376,0.448,0,1,4.82,4.42,Centro,App,No_Contactado,1,Push_App,0,120.0,1
115,44,6278.4,76112.3,27.9,10,26,Independiente,674,17.68,4,46,9,0.386,0.42,0,1,4.5,4.91,Norte,Llamada,Reestructuracion,0,Llamada_Agente,0,120.0,1
116,47,7425.66,59064.82,26.65,18,3,Independiente,616,33.84,1,47,9,0.528,0.342,1,0,5.25,2.78,Norte,App,Contactado_Sin_Compromiso,0,Push_App,0,120.0,0
117,19,15176.54,27549.56,27.28,29,5,Desempleado,712,51.9,0,30,13,0.05,0.501,1,0,4.46,5.64,Oriente,WhatsApp,Contactado_Sin_Compromiso,0,WA_Recordatorio,0,120.0,1
118,25,21172.69,5000.0,27.84,16,15,Desempleado,654,48.04,1,1,1,0.16,0.178,1,0,4.01,3.06,Occidente,Email,Promesa_de_Pago,1,Email_Recordatorio,0,120.0,0
119,30,3000.0,38071.98,37.41,27,21,Independiente,651,33.5,1,0,0,0.294,0.293,1,0,5.29,6.36,Oriente,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,0
120,23,17074.36,69023.64,27.86,24,5,Formal,630,53.76,1,27,8,0.083,0.675,0,0,3.58,5.42,Centro,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,1
121,40,22137.73,41172.59,35.6,30,9,Independiente,758,19.89,0,39,4,0.296,0.385,0,0,3.67,5.17,Centro,Llamada,Promesa_de_Pago,1,Llamada_Agente,0,120.0,1
122,52,14081.84,70029.46,34.58,39,1,Independiente,590,23.34,0,0,20,0.285,0.385,1,1,3.94,5.22,Sur,Email,No_Contactado,0,Email_Recordatorio,0,120.0,0
123,52,18301.21,53718.2,32.67,12,1,Desempleado,617,57.36,1,33,3,0.367,0.142,1,1,4.45,4.5,Occidente,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,0
124,42,10781.59,82201.65,15.49,39,4,Independiente,553,41.94,0,6,8,0.339,0.205,1,1,3.93,3.56,Occidente,Llamada,Promesa_de_Pago,1,Llamada_Agente,0,120.0,0
125,62,14283.8,42619.58,35.82,15,21,Desempleado,691,31.53,0,0,9,0.564,0.099,0,0,2.51,3.37,Sur,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,0
126,47,5274.52,61690.37,24.79,7,26,Informal,599,34.34,2,21,15,0.465,0.583,1,1,3.73,6.6,Sur,App,No_Contactado,0,Push_App,0,120.0,1
127,22,3000.0,62647.13,33.01,24,14,Informal,607,25.32,2,30,2,0.336,0.0,1,0,3.97,4.62,Sur,WhatsApp,No_Contactado,1,WA_Recordatorio,1,11.3,1
128,57,20656.59,87540.05,21.19,18,5,Desempleado,604,38.32,0,4,0,0.283,0.445,1,0,4.11,3.16,Centro,Llamada,Contactado_Sin_Compromiso,1,Llamada_Agente,0,120.0,1
129,47,9090.03,7334.07,19.7,13,27,Informal,644,37.37,2,0,16,0.34,0.385,1,0,3.55,5.12,Norte,Llamada,No_Contactado,0,Llamada_Agente,0,120.0,0
130,51,12266.83,38539.79,41.83,23,8,Desempleado,552,35.24,4,46,8,0.344,0.0,0,1,4.51,4.91,Centro,WhatsApp,Reestructuracion,1,WA_Recordatorio,0,120.0,0
131,47,6681.35,71212.9,21.3,42,4,Informal,483,21.08,1,0,12,0.854,0.486,0,0,2.5,4.1,Centro,App,Contactado_Sin_Compromiso,1,Push_App,0,120.0,1
132,46,6540.18,88647.41,36.02,30,4,Desempleado,672,38.18,2,35,13,0.058,0.233,0,1,4.42,3.42,Occidente,Llamada,Contactado_Sin_Compromiso,1,Llamada_Agente,0,120.0,1
133,22,13956.97,56001.79,28.83,36,10,Informal,492,28.65,2,0,14,0.165,0.042,1,1,5.79,5.38,Oriente,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,1
134,47,10622.54,42682.4,25.06,12,22,Formal,700,23.17,1,20,5,0.135,0.346,1,1,3.39,5.64,Oriente,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,1
135,59,17267.83,68927.96,27.69,9,11,Desempleado,749,50.2,0,19,4,0.404,0.132,0,1,4.06,4.89,Centro,App,Contactado_Sin_Compromiso,1,Push_App,0,120.0,1
136,33,17715.23,71717.57,18.89,20,13,Informal,629,61.04,1,29,0,0.396,0.243,1,1,3.75,4.59,Oriente,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,0
137,49,16925.1,41008.46,27.9,38,10,Formal,731,58.31,3,41,2,0.235,0.189,1,0,3.77,3.56,Oriente,SMS,Promesa_de_Pago,1,SMS_Recordatorio,0,120.0,1
138,19,16431.6,58257.68,20.42,43,28,Formal,638,42.8,3,0,8,0.529,0.122,0,1,2.97,5.08,Oriente,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,1
139,36,24466.61,79513.18,25.23,10,20,Desempleado,752,31.81,1,22,3,0.424,0.066,0,0,5.99,3.74,Norte,Llamada,No_Contactado,0,Llamada_Agente,0,120.0,1
140,40,8594.44,97261.47,34.48,26,19,Independiente,608,34.16,0,0,1,0.538,0.423,1,1,4.39,2.97,Occidente,WhatsApp,Contactado_Sin_Compromiso,1,WA_Recordatorio,0,120.0,1
141,69,14670.39,68565.12,29.78,22,13,Informal,474,39.87,3,0,8,0.591,0.338,0,1,3.33,5.85,Centro,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,1
